Procurement Reference (Mandatory for Third Party - 1ø Tier Vendor)  or IBM identification Nbr. |Entity Name (IBM or Third Party vendor) |Country/Address|Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors |Tool Name/Tool Reference| In what category is the Vendor's Service Description ? (using the categories in GSAR (Global Solution Architecture Repository)) |On boarding|Off-Boarding|Tool Owner| Assesment Owner|NOTE|Does this Vendor Process Client Controlled PD ? Yes / No
1000433096|LENOVO GLO|Czech Republic|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000306298|LENOVO TECHNOLOGY (UNITED KINGDOM)|FRANCE|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
0003461|LENOVO TEC|GREECE|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000433292|LENOVO TEC|GREECE|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
033257|LENOVO IS|ISRAEL|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000328330|LENOVO ISR|ISRAEL|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322240|LENOVO TEC|LATVIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000307939|LENOVO TEC|LITHUANIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
010614|LENOVO SPA|PORTUGAL|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000433473|LENOVO SPA|PORTUGAL|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322143|LENOVO TECHNOLOGY (UNITED KINGDOM)|SPAIN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322150|LENOVO TECHNOLOGY (UNITED KINGDOM)|SWITZERLAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322521|LENOVO GLOBAL TECHNOLOGY (UNITED KI| United Kingdom|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000303873|LENOVO X TECHNOLOGY (UNITED KINGDOM| United Kingdom|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000307649|LENOVO BELGIUM SPRL                |BELGIUM|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000432910|LENOVO GLOBAL TECHNOLOGY BELGIUM   |BELGIUM|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000307650|LENOVO DANMARK APS                 |DENMARK|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000432940|LENOVO GLOBAL TECHNOLOGY DENMARK   |DENMARK|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322240|LENOVO TECHNOLOGY  BV              |FINLAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000307939|LENOVO TECHNOLOGY BV               |FINLAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000432911|LENOVO FRANCE SAS                  |FRANCE|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000306298|LENOVO FRANCE SAS                  |FRANCE|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000305859|LENOVO DEUTSCHLAND GMBH            |GERMANY|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322913|LENOVO GLOBAL TECHNOLOGY GERMANY   |GERMANY|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000432939|LENOVO INTERNATIONAL BV            |IRELAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000306765|LENOVO INTERNATIONAL BV            |IRELAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322144|LENOVO ITALY SRL                   |ITALY|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000306754|LENOVO ITALY SRL                   |ITALY|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000307686|LENOVO INTERNATIONAL COOPERATIEF UA|NETHERLANDS|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322520|LENOVO INTERNATIONAL COOPERATIVE UA|NETHERLANDS|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322147|LENOVO TECHNOLOGY BV               |NORWAY|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000307449|LENOVO TECHNOLOGY BV               |NORWAY|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322143|LENOVO SPAIN SL                    |SPAIN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000307182|LENOVO SPAIN SL                    |SPAIN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322146|LENOVO SWEDEN AB                   |SWEDEN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000307959|LENOVO SWEDEN AB                   |SWEDEN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322150|LENOVO SCHWEIZ GMBH                |SWITZERLAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000307897|LENOVO SCHWEIZ GMBH                |SWITZERLAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000322521|LENOVO TECHNOLOGY UNITED KINGDOM   | United Kingdom|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000303873|LENOVO TECHNOLOGY UNITED KINGDOM   | United Kingdom|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
093205|LENOVO ENTERPRISE SOLUTIONS LTD.|JAPAN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
094326|LENOVO JAPAN LTD.|JAPAN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000449996|LENOVO GLO|ARGENTINA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
30709237647|LENOVO SPA|ARGENTINA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000444154|LENOVO COM|BRAZIL|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000448951|LENOVO GLO|BRAZIL|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
07275920|LENOVO TEC|BRAZIL|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
59112930-9|LENOVO AGE|CHILE|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
9000305383|LENOVO ASIA PACIFIC|COLOMBIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
Y50508|LENOVO MEX|MEXICO|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
20511063184|LENOVO ASI|Peru|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
001579|LENOVO|TURKEY|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000432938|LENOVO TEC|TURKEY|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000433096|LENOVO.GLOBAL.TECHNOLOGY HK LIMITED|KENYA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000346040|LENOVO PC HK                       |MADAGASCAR|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000433096|LENOVO PC HK LTD                   |NIGERIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000346040|LENOVO GLOBAL TECHNOLOGY HONG KONG |SAUDI ARABIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000299328|LENOVO GROUP LTD|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000313750|LENOVO GROUP LTD|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000350975|LENOVO GROUP LTD|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000302578|LENOVO INC. (PURCHASE EXCEPTIONS)|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000429386|LENOVO UNITED STATES INC|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000321439|LENOVO UNITED STATES INC|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000323471|LENOVO UNITED STATES INC|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000429386|LENOVO X (UNITED STATES) INC|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000372759|JUNIPER NE|AUSTRALIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000413143|JUNIPER NE|AUSTRALIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000413143|JUNIPER|INDIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000378303|JUNIPER IN|INDIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000248217|JUNIPER NE|INDIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000378331|JUNIPER NE|NEW ZEALAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000435008|JUNIPER NE|SINGAPORE|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000114360|JUNIPER NE|HONG KONG|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000434648|JUNIPER NE|HONG KONG|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000413143|JUNIPER NETWORKS INTERNATIONAL BV  |BELGIUM|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000376775|JUNIPER NETWORKS FRANCE            |FRANCE|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000421800|JUNIPER NETWORKS SWITZERLAND GMBH  |SWITZERLAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000367760|JUNIPER NETWORKS UK LIMITED        | United Kingdom|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
55000002126000595|JUNIPER NE|ARGENTINA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
09000003116|JUNIPER NE|COLOMBIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000407743|JUNIPER NE|PAKISTAN|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000114360|JUNIPER NETWORKS US INC|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000114360|JUNIPER NETWORKS  INC.|UNITED STATES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
00738724811|RED HAT|AUSTRALIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
R0036|RED HAT IN|INDIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000328269|RED HAT AS|INDONESIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
R00129|RED HAT AS|MALAYSIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000403084|RED HAT NE|NEW ZEALAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
R95651|RED HAT AS|PHILIPPINES|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
R314|RED HAT AS|SINGAPORE|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000414394|RED HAT|SOUTH KOREA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
R00007|RED HAT INDIA|SRI LANKA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
R00154|RED HAT AS|THAILAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
R00312|RED HAT AS|VIETNAM|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
R00069|RED HAT LI|HONG KONG|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
811387|RED HAT LI|AUSTRIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
000771|RED HAT LI|BULGARIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
331|RED HAT LI|CROATIA|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
206230|RED HAT LI|CYPRUS|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
F0171|RED HAT LI|Czech Republic|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
F0237|RED HAT LI|Czech Republic|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
0009358|RED HAT LI|GREECE|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
1000180432|RED HAT LI|HUNGARY|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
024481|RED HAT LI|ISRAEL|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
Z412|RED HAT LI|POLAND|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
010261|RED HAT LI|PORTUGAL|N/A|6950-93H  6940-93H|6948-90P  6948-52L  6948-52J  6943-08R  6943-07N  6943-07L|Distributed Middleware  Databases  Servers and Storage Management|39448|36525|Robbie Mitchell|Robbie Mitchell|No
