<<<<<<< HEAD
Procurement Reference (Mandatory for Third Party - 1° Tier Vendor)  or IBM identification Nbr.	Entity Name (IBM or Third Party vendor)	Address/country	Is there further sub-contracting to second or third tier vendors? If so  please provide the full names and full address of 2nd or 3rd tier vendors	Offering ID (level 30)	Offering ID (level 40)	In what category is the Vendor s Service Description ? (using the categories in GSAR (Global Solution Architecture Repository))	On boarding	Off-Boarding	Offering Owner	Assesment Owner	NOTE
1000307449	LENOVO TECHNOLOGY BV	NORWAY	N/A	6950-15Y	6948-52N	IBM Cloud Resiliency Orchestration	11/15/2016	12/31/2050	Anilkumar Khadke	Anilkumar Khadke	PID00100914  - Vendor location will be selected based on customer requirement
1000307449	LENOVO TECHNOLOGY BV	NORWAY	N/A	6950-15Y	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000307449	LENOVO TECHNOLOGY BV	NORWAY	N/A	6950-15Y	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000307449	LENOVO TECHNOLOGY BV	NORWAY	N/A	6950-19B	6943-10U (O) All Flash Block Storage 6943-10V (O) Performance Block Storate 6943-10W (O) Performance File Storage 6943-10X (O) Standard File Storage 6943-12W (O) All Flash File Storage	Distributed Middleware  Databases  Servers and Storage Management	9/19/2017	9/19/2022	IBM Cloud Private Storage (STaaS)	Rafael Frias Sanchez/Hungary/IBM@IBMHU	
1000307449	LENOVO TECHNOLOGY BV	NORWAY	N/A	6950-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000303873	LENOVO TECHNOLOGY UNITED KINGDOM	UNITED KINGDOM	N/A	6940-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000303873	LENOVO TECHNOLOGY UNITED KINGDOM	UNITED KINGDOM	N/A	6941-03W	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000303873	LENOVO TECHNOLOGY UNITED KINGDOM	UNITED KINGDOM	N/A	6941-94X	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000303873	LENOVO TECHNOLOGY UNITED KINGDOM	UNITED KINGDOM	N/A	6941-94X	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000303873	LENOVO TECHNOLOGY UNITED KINGDOM	UNITED KINGDOM	N/A	6950-15Y	6948-52N	iBM Cloud Resiliency Orchestration	11/15/2016	12/31/2050	Anilkumar Khadke	Anilkumar Khadke	PID00100914  - Vendor location will be selected based on customer requirement
1000303873	LENOVO TECHNOLOGY UNITED KINGDOM	UNITED KINGDOM	N/A	6950-15Y	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000303873	LENOVO TECHNOLOGY UNITED KINGDOM	UNITED KINGDOM	N/A	6950-15Y	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000303873	LENOVO TECHNOLOGY UNITED KINGDOM	UNITED KINGDOM	N/A	6950-19B	6943-10U (O) All Flash Block Storage 6943-10V (O) Performance Block Storate 6943-10W (O) Performance File Storage 6943-10X (O) Standard File Storage 6943-12W (O) All Flash File Storage	Distributed Middleware  Databases  Servers and Storage Management	9/19/2017	9/19/2022	IBM Cloud Private Storage (STaaS)	Rafael Frias Sanchez/Hungary/IBM@IBMHU	
1000303873	LENOVO TECHNOLOGY UNITED KINGDOM	UNITED KINGDOM	N/A	6950-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000303873	LENOVO TECHNOLOGY UNITED KINGDOM	UNITED KINGDOM	N/A	6950-98H	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
L00103	LENOVO THA	THAILAND	N/A	6940-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
L00103	LENOVO THA	THAILAND	N/A	6950-15Y	6948-52N	iBM Cloud Resiliency Orchestration	11/15/2016	12/31/2050	Anilkumar Khadke	Anilkumar Khadke	PID00100914  - Vendor location will be selected based on customer requirement
L00103	LENOVO THA	THAILAND	N/A	6950-19B	6943-10U (O) All Flash Block Storage 6943-10V (O) Performance Block Storate 6943-10W (O) Performance File Storage 6943-10X (O) Standard File Storage 6943-12W (O) All Flash File Storage	Distributed Middleware  Databases  Servers and Storage Management	9/19/2017	9/19/2022	IBM Cloud Private Storage (STaaS)	Rafael Frias Sanchez/Hungary/IBM@IBMHU	
L00103	LENOVO THA	THAILAND	N/A	6950-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000323471	LENOVO UNITED STATES INC	UNITED STATES	N/A	6940-93H	6948-68V  6943-12P	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000323471	LENOVO UNITED STATES INC	UNITED STATES	N/A	6940-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000323471	LENOVO UNITED STATES INC	UNITED STATES	N/A	6941-03W	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000323471	LENOVO UNITED STATES INC	UNITED STATES	N/A	6941-94X	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000323471	LENOVO UNITED STATES INC	UNITED STATES	N/A	6941-94X	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000323471	LENOVO UNITED STATES INC	UNITED STATES	N/A	6950-15Y	6948-52N	IBM Cloud Resiliency Orchestration	11/15/2016	12/31/2050	Anilkumar Khadke	Anilkumar Khadke	PID00100914  - Vendor location will be selected based on customer requirement
1000323471	LENOVO UNITED STATES INC	UNITED STATES	N/A	6950-15Y	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000323471	LENOVO UNITED STATES INC	UNITED STATES	N/A	6950-15Y	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000323471	LENOVO UNITED STATES INC	UNITED STATES	N/A	6950-19B	6943-10U (O) All Flash Block Storage 6943-10V (O) Performance Block Storate 6943-10W (O) Performance File Storage 6943-10X (O) Standard File Storage 6943-12W (O) All Flash File Storage	Distributed Middleware  Databases  Servers and Storage Management	9/19/2017	9/19/2022	IBM Cloud Private Storage (STaaS)	Rafael Frias Sanchez/Hungary/IBM@IBMHU	
1000323471	LENOVO UNITED STATES INC	UNITED STATES	N/A	6950-93H	6948-68V  6943-12P	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000323471	LENOVO UNITED STATES INC	UNITED STATES	N/A	6950-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000323471	LENOVO UNITED STATES INC	UNITED STATES	N/A	6950-98H	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000429386	LENOVO X (UNITED STATES) INC	UNITED STATES	N/A	6940-93H	6948-68V  6943-12P	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000429386	LENOVO X (UNITED STATES) INC	UNITED STATES	N/A	6940-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000429386	LENOVO X (UNITED STATES) INC	UNITED STATES	N/A	6941-03W	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000429386	LENOVO X (UNITED STATES) INC	UNITED STATES	N/A	6941-94X	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000429386	LENOVO X (UNITED STATES) INC	UNITED STATES	N/A	6941-94X	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000429386	LENOVO X (UNITED STATES) INC	UNITED STATES	N/A	6950-15Y	6948-52N	iBM Cloud Resiliency Orchestration	11/15/2016	12/31/2050	Anilkumar Khadke	Anilkumar Khadke	PID00100914  - Vendor location will be selected based on customer requirement
1000429386	LENOVO X (UNITED STATES) INC	UNITED STATES	N/A	6950-15Y	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000429386	LENOVO X (UNITED STATES) INC	UNITED STATES	N/A	6950-15Y	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000429386	LENOVO X (UNITED STATES) INC	UNITED STATES	N/A	6950-19B	6943-10U (O) All Flash Block Storage 6943-10V (O) Performance Block Storate 6943-10W (O) Performance File Storage 6943-10X (O) Standard File Storage 6943-12W (O) All Flash File Storage	Distributed Middleware  Databases  Servers and Storage Management	9/19/2017	9/19/2022	IBM Cloud Private Storage (STaaS)	Rafael Frias Sanchez/Hungary/IBM@IBMHU	
1000429386	LENOVO X (UNITED STATES) INC	UNITED STATES	N/A	6950-93H	6948-68V  6943-12P	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000429386	LENOVO X (UNITED STATES) INC	UNITED STATES	N/A	6950-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000429386	LENOVO X (UNITED STATES) INC	UNITED STATES	N/A	6950-98H	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000303873	LENOVO X TECHNOLOGY (UNITED KINGDOM	UNITED KINGDOM	N/A	6940-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000303873	LENOVO X TECHNOLOGY (UNITED KINGDOM	UNITED KINGDOM	N/A	6941-03W	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000303873	LENOVO X TECHNOLOGY (UNITED KINGDOM	UNITED KINGDOM	N/A	6941-94X	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000303873	LENOVO X TECHNOLOGY (UNITED KINGDOM	UNITED KINGDOM	N/A	6941-94X	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000303873	LENOVO X TECHNOLOGY (UNITED KINGDOM	UNITED KINGDOM	N/A	6950-15Y	6948-52N	iBM Cloud Resiliency Orchestration	11/15/2016	12/31/2050	Anilkumar Khadke	Anilkumar Khadke	PID00100914  - Vendor location will be selected based on customer requirement
1000303873	LENOVO X TECHNOLOGY (UNITED KINGDOM	UNITED KINGDOM	N/A	6950-15Y	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000303873	LENOVO X TECHNOLOGY (UNITED KINGDOM	UNITED KINGDOM	N/A	6950-15Y	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000303873	LENOVO X TECHNOLOGY (UNITED KINGDOM	UNITED KINGDOM	N/A	6950-19B	6943-10U (O) All Flash Block Storage 6943-10V (O) Performance Block Storate 6943-10W (O) Performance File Storage 6943-10X (O) Standard File Storage 6943-12W (O) All Flash File Storage	Distributed Middleware  Databases  Servers and Storage Management	9/19/2017	9/19/2022	IBM Cloud Private Storage (STaaS)	Rafael Frias Sanchez/Hungary/IBM@IBMHU	
1000303873	LENOVO X TECHNOLOGY (UNITED KINGDOM	UNITED KINGDOM	N/A	6950-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000303873	LENOVO X TECHNOLOGY (UNITED KINGDOM	UNITED KINGDOM	N/A	6950-98H	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
1000433096	LENOVO.GLO	BULGARIA	N/A	6940-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000433096	LENOVO.GLO	BULGARIA	N/A	6950-15Y	6948-52N	iBM Cloud Resiliency Orchestration	11/15/2016	12/31/2050	Anilkumar Khadke	Anilkumar Khadke	PID00100914  - Vendor location will be selected based on customer requirement
1000433096	LENOVO.GLO	BULGARIA	N/A	6950-19B	6943-10U (O) All Flash Block Storage 6943-10V (O) Performance Block Storate 6943-10W (O) Performance File Storage 6943-10X (O) Standard File Storage 6943-12W (O) All Flash File Storage	Distributed Middleware  Databases  Servers and Storage Management	9/19/2017	9/19/2022	IBM Cloud Private Storage (STaaS)	Rafael Frias Sanchez/Hungary/IBM@IBMHU	
1000433096	LENOVO.GLO	BULGARIA	N/A	6950-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000433096	LENOVO.GLOBAL.TECHNOLOGY HK LIMITED	BULGARIA	N/A	6940-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000433096	LENOVO.GLOBAL.TECHNOLOGY HK LIMITED	BULGARIA	N/A	6950-15Y	6948-52N	iBM Cloud Resiliency Orchestration	11/15/2016	12/31/2050	Anilkumar Khadke	Anilkumar Khadke	PID00100914  - Vendor location will be selected based on customer requirement
1000433096	LENOVO.GLOBAL.TECHNOLOGY HK LIMITED	BULGARIA	N/A	6950-19B	6943-10U (O) All Flash Block Storage 6943-10V (O) Performance Block Storate 6943-10W (O) Performance File Storage 6943-10X (O) Standard File Storage 6943-12W (O) All Flash File Storage	Distributed Middleware  Databases  Servers and Storage Management	9/19/2017	9/19/2022	IBM Cloud Private Storage (STaaS)	Rafael Frias Sanchez/Hungary/IBM@IBMHU	
1000433096	LENOVO.GLOBAL.TECHNOLOGY HK LIMITED	BULGARIA	N/A	6950-93H	6948-68W  6943-12N	Distributed Middleware  Databases  Servers and Storage Management	1/1/2008	12/31/1999	LaTarsha C. Dunkley	LaTarsha C. Dunkley	
1000310740	LIVEPERSON	UNITED STATES	N/A	6940-98P	6948-97E ; 6943-05R	MCCS-Service Desk; Workplace Support Services			Mohit Bhatnagar	Mohit Bhatnagar	Service Desk
1000310740	LIVEPERSON	UNITED STATES	N/A	6950-99N	6948-97E ; 6943-05R	MCCS-Service Desk; Workplace Support Services			Mohit Bhatnagar	Mohit Bhatnagar	Service Desk
1000310740	LIVEPERSON INC	UNITED STATES	N/A	6940-98V	6948-45J ; 6943-05T	MCCS-Service Desk; Workplace Support Services	12/1/2016		Vishal Joshi	Vishal Joshi	WSSwW
1000310740	LIVEPERSON INC	UNITED STATES	N/A	6950-15M	6948-45J ; 6943-05T	MCCS-Service Desk; Workplace Support Services	12/1/2016		Vishal Joshi	Vishal Joshi	WSSwW
1000310740	LIVEPERSON INC	GERMANY	N/A	6940-98P	6948-97E ; 6943-05R	MCCS-Service Desk; Workplace Support Services			Mohit Bhatnagar	Mohit Bhatnagar	Service Desk
1000310740	LIVEPERSON INC	GERMANY	N/A	6950-99N	6948-97E ; 6943-05R	MCCS-Service Desk; Workplace Support Services			Mohit Bhatnagar	Mohit Bhatnagar	Service Desk
1000362211	LUXHORA SRL	ITALY	N/A	6940-98P	6948-97E ; 6943-05R	MCCS-Service Desk; Workplace Support Services	2/1/2017	12/31/2018	Mohit Bhatnagar	Mohit Bhatnagar	Service Desk
1000362211	LUXHORA SRL	ITALY	N/A	6950-99N	6948-97E ; 6943-05R	MCCS-Service Desk; Workplace Support Services	2/1/2017	12/31/2018	Mohit Bhatnagar	Mohit Bhatnagar	Service Desk
24525088	MICROSOFT	AUSTRALIA	N/A	6941-03W	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
24525088	MICROSOFT	AUSTRALIA	N/A	6941-94X	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
24525088	MICROSOFT	AUSTRALIA	N/A	6941-94X	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
24525088	MICROSOFT	AUSTRALIA	N/A	6950-15Y	6948-52P (GTS)  6943-07S (SO)	Orchestrated Disaster Recovery as a Service			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
24525088	MICROSOFT	AUSTRALIA	N/A	6950-15Y	6948-64M (GTS)  6943-11C (SO)	Managed Services without Orchestration			Craig Poole/UK/IBM	Craig Poole/UK/IBM	IBM Entity: Softlayer       -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
24525088	MICROSOFT	AUSTRALIA	N/A	6950-98H	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
unknowVendor_Id103	MICROSOFT	BRAZIL	N/A	6941-03W	6948-16D (GTS)	IBM Cloud Virtualized Server Recovery			Craig Poole/UK/IBM	Craig Poole/UK/IBM	Vendor survey missing or not completed      -      The global offering is  present in some countries and not all  therefore this is only focused on the countries where the offerings reside and are supported from and enabled. In some case in countries indeed have offerings  no vendors are listed for that particular country. This could be for many reasons  i.e. a Participation Agreement has not been set up within the vendor in country and instead a different country used for the procurement process.
